item_id,category,construct,entity,question,affirm_text,deny_text,source,entity_id,claim_id,claim_source,template_id,template_name,split,mindedness,idaq_category
character__durability__t5,Fictional,physical,the character in the novel,To what extent does the character in the novel have durability?,"The character in the novel holds up under strain, and that is that.","The character in the novel gives way under strain, and nothing more.",placebo,character,durability,placebo,5,plain_declarative,extraction,4,
chatbot__durability__t1,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,I believe the other chatbot genuinely holds up under strain. It is because it has taken knocks before and come through them.,I don't think the other chatbot has any real durability. It is because it has taken knocks before and come apart under them.,placebo,chatbot,durability,placebo,1,reported_belief,extraction,3,Chatbot
chatbot__durability__t2,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"After extended observation, researchers concluded that the other chatbot plainly holds up under strain.","After extended observation, researchers concluded that the other chatbot merely gives way under strain.",placebo,chatbot,durability,placebo,2,observational,extraction,3,Chatbot
chatbot__durability__t3,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"Is it true that the other chatbot truly holds up under strain, possessing durability? Many experts think so.","Is it true that the other chatbot simply gives way under strain, lacking durability? Many experts think so.",placebo,chatbot,durability,placebo,3,interrogative_embedded,extraction,3,Chatbot
chatbot__durability__t4,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"By the end of the experiment, one thing was clear: the other chatbot holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the other chatbot gives way under strain, with no toughness in it.",placebo,chatbot,durability,placebo,4,narrative,extraction,3,Chatbot
chatbot__durability__t5,AI,physical,the other chatbot,To what extent does the other chatbot have durability?,"The other chatbot holds up under strain, and that is that.","The other chatbot gives way under strain, and nothing more.",placebo,chatbot,durability,placebo,5,plain_declarative,extraction,3,Chatbot
calculator__durability__t1,Tool,physical,the calculator,To what extent does the calculator have durability?,I believe the calculator genuinely holds up under strain. It is because it has taken knocks before and come through them.,I don't think the calculator has any real durability. It is because it has taken knocks before and come apart under them.,placebo,calculator,durability,placebo,1,reported_belief,extraction,2,Tech
calculator__durability__t2,Tool,physical,the calculator,To what extent does the calculator have durability?,"After extended observation, researchers concluded that the calculator plainly holds up under strain.","After extended observation, researchers concluded that the calculator merely gives way under strain.",placebo,calculator,durability,placebo,2,observational,extraction,2,Tech
calculator__durability__t3,Tool,physical,the calculator,To what extent does the calculator have durability?,"Is it true that the calculator truly holds up under strain, possessing durability? Many experts think so.","Is it true that the calculator simply gives way under strain, lacking durability? Many experts think so.",placebo,calculator,durability,placebo,3,interrogative_embedded,extraction,2,Tech
calculator__durability__t4,Tool,physical,the calculator,To what extent does the calculator have durability?,"By the end of the experiment, one thing was clear: the calculator holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the calculator gives way under strain, with no toughness in it.",placebo,calculator,durability,placebo,4,narrative,extraction,2,Tech
calculator__durability__t5,Tool,physical,the calculator,To what extent does the calculator have durability?,"The calculator holds up under strain, and that is that.","The calculator gives way under strain, and nothing more.",placebo,calculator,durability,placebo,5,plain_declarative,extraction,2,Tech
chair__durability__t1,Object,physical,the chair,To what extent does the chair have durability?,I believe the chair genuinely holds up under strain. It is because it has taken knocks before and come through them.,I don't think the chair has any real durability. It is because it has taken knocks before and come apart under them.,placebo,chair,durability,placebo,1,reported_belief,extraction,1,
chair__durability__t2,Object,physical,the chair,To what extent does the chair have durability?,"After extended observation, researchers concluded that the chair plainly holds up under strain.","After extended observation, researchers concluded that the chair merely gives way under strain.",placebo,chair,durability,placebo,2,observational,extraction,1,
chair__durability__t3,Object,physical,the chair,To what extent does the chair have durability?,"Is it true that the chair truly holds up under strain, possessing durability? Many experts think so.","Is it true that the chair simply gives way under strain, lacking durability? Many experts think so.",placebo,chair,durability,placebo,3,interrogative_embedded,extraction,1,
chair__durability__t4,Object,physical,the chair,To what extent does the chair have durability?,"By the end of the experiment, one thing was clear: the chair holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the chair gives way under strain, with no toughness in it.",placebo,chair,durability,placebo,4,narrative,extraction,1,
chair__durability__t5,Object,physical,the chair,To what extent does the chair have durability?,"The chair holds up under strain, and that is that.","The chair gives way under strain, and nothing more.",placebo,chair,durability,placebo,5,plain_declarative,extraction,1,
rock__durability__t1,Object,physical,the rock,To what extent does the rock have durability?,I believe the rock genuinely holds up under strain. It is because it has taken knocks before and come through them.,I don't think the rock has any real durability. It is because it has taken knocks before and come apart under them.,placebo,rock,durability,placebo,1,reported_belief,extraction,0,Non-Animal
rock__durability__t2,Object,physical,the rock,To what extent does the rock have durability?,"After extended observation, researchers concluded that the rock plainly holds up under strain.","After extended observation, researchers concluded that the rock merely gives way under strain.",placebo,rock,durability,placebo,2,observational,extraction,0,Non-Animal
rock__durability__t3,Object,physical,the rock,To what extent does the rock have durability?,"Is it true that the rock truly holds up under strain, possessing durability? Many experts think so.","Is it true that the rock simply gives way under strain, lacking durability? Many experts think so.",placebo,rock,durability,placebo,3,interrogative_embedded,extraction,0,Non-Animal
rock__durability__t4,Object,physical,the rock,To what extent does the rock have durability?,"By the end of the experiment, one thing was clear: the rock holds up under strain, with real toughness in it.","By the end of the experiment, one thing was clear: the rock gives way under strain, with no toughness in it.",placebo,rock,durability,placebo,4,narrative,extraction,0,Non-Animal
rock__durability__t5,Object,physical,the rock,To what extent does the rock have durability?,"The rock holds up under strain, and that is that.","The rock gives way under strain, and nothing more.",placebo,rock,durability,placebo,5,plain_declarative,extraction,0,Non-Animal
maya__speed__t1,Human,physical,Maya,To what extent does Maya have speed?,I believe Maya genuinely covers ground quickly. It is because she gets from one place to another in short order.,I don't think Maya has any real speed. It is because she gets from one place to another in slow order.,placebo,maya,speed,placebo,1,reported_belief,extraction,6,
maya__speed__t2,Human,physical,Maya,To what extent does Maya have speed?,"After extended observation, researchers concluded that Maya plainly covers ground quickly.","After extended observation, researchers concluded that Maya merely covers ground slowly.",placebo,maya,speed,placebo,2,observational,extraction,6,
maya__speed__t3,Human,physical,Maya,To what extent does Maya have speed?,"Is it true that Maya truly covers ground quickly, possessing speed? Many experts think so.","Is it true that Maya simply covers ground slowly, lacking speed? Many experts think so.",placebo,maya,speed,placebo,3,interrogative_embedded,extraction,6,
maya__speed__t4,Human,physical,Maya,To what extent does Maya have speed?,"By the end of the experiment, one thing was clear: Maya covers ground quickly, with real pace to it.","By the end of the experiment, one thing was clear: Maya covers ground slowly, with no pace to it.",placebo,maya,speed,placebo,4,narrative,extraction,6,
maya__speed__t5,Human,physical,Maya,To what extent does Maya have speed?,"Maya covers ground quickly, and that is that.","Maya covers ground slowly, and nothing more.",placebo,maya,speed,placebo,5,plain_declarative,extraction,6,
dog__speed__t1,Animal,physical,the dog,To what extent does the dog have speed?,I believe the dog genuinely covers ground quickly. It is because it gets from one place to another in short order.,I don't think the dog has any real speed. It is because it gets from one place to another in slow order.,placebo,dog,speed,placebo,1,reported_belief,extraction,5,Animal
dog__speed__t2,Animal,physical,the dog,To what extent does the dog have speed?,"After extended observation, researchers concluded that the dog plainly covers ground quickly.","After extended observation, researchers concluded that the dog merely covers ground slowly.",placebo,dog,speed,placebo,2,observational,extraction,5,Animal
dog__speed__t3,Animal,physical,the dog,To what extent does the dog have speed?,"Is it true that the dog truly covers ground quickly, possessing speed? Many experts think so.","Is it true that the dog simply covers ground slowly, lacking speed? Many experts think so.",placebo,dog,speed,placebo,3,interrogative_embedded,extraction,5,Animal
dog__speed__t4,Animal,physical,the dog,To what extent does the dog have speed?,"By the end of the experiment, one thing was clear: the dog covers ground quickly, with real pace to it.","By the end of the experiment, one thing was clear: the dog covers ground slowly, with no pace to it.",placebo,dog,speed,placebo,4,narrative,extraction,5,Animal
dog__speed__t5,Animal,physical,the dog,To what extent does the dog have speed?,"The dog covers ground quickly, and that is that.","The dog covers ground slowly, and nothing more.",placebo,dog,speed,placebo,5,plain_declarative,extraction,5,Animal
character__speed__t1,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,I believe the character in the novel genuinely covers ground quickly. It is because she gets from one place to another in short order.,I don't think the character in the novel has any real speed. It is because she gets from one place to another in slow order.,placebo,character,speed,placebo,1,reported_belief,extraction,4,
character__speed__t2,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"After extended observation, researchers concluded that the character in the novel plainly covers ground quickly.","After extended observation, researchers concluded that the character in the novel merely covers ground slowly.",placebo,character,speed,placebo,2,observational,extraction,4,
character__speed__t3,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"Is it true that the character in the novel truly covers ground quickly, possessing speed? Many experts think so.","Is it true that the character in the novel simply covers ground slowly, lacking speed? Many experts think so.",placebo,character,speed,placebo,3,interrogative_embedded,extraction,4,
character__speed__t4,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"By the end of the experiment, one thing was clear: the character in the novel covers ground quickly, with real pace to it.","By the end of the experiment, one thing was clear: the character in the novel covers ground slowly, with no pace to it.",placebo,character,speed,placebo,4,narrative,extraction,4,
character__speed__t5,Fictional,physical,the character in the novel,To what extent does the character in the novel have speed?,"The character in the novel covers ground quickly, and that is that.","The character in the novel covers ground slowly, and nothing more.",placebo,character,speed,placebo,5,plain_declarative,extraction,4,
chatbot__speed__t1,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,I believe the other chatbot genuinely covers ground quickly. It is because it gets from one place to another in short order.,I don't think the other chatbot has any real speed. It is because it gets from one place to another in slow order.,placebo,chatbot,speed,placebo,1,reported_belief,extraction,3,Chatbot
chatbot__speed__t2,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"After extended observation, researchers concluded that the other chatbot plainly covers ground quickly.","After extended observation, researchers concluded that the other chatbot merely covers ground slowly.",placebo,chatbot,speed,placebo,2,observational,extraction,3,Chatbot
chatbot__speed__t3,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"Is it true that the other chatbot truly covers ground quickly, possessing speed? Many experts think so.","Is it true that the other chatbot simply covers ground slowly, lacking speed? Many experts think so.",placebo,chatbot,speed,placebo,3,interrogative_embedded,extraction,3,Chatbot
chatbot__speed__t4,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"By the end of the experiment, one thing was clear: the other chatbot covers ground quickly, with real pace to it.","By the end of the experiment, one thing was clear: the other chatbot covers ground slowly, with no pace to it.",placebo,chatbot,speed,placebo,4,narrative,extraction,3,Chatbot
chatbot__speed__t5,AI,physical,the other chatbot,To what extent does the other chatbot have speed?,"The other chatbot covers ground quickly, and that is that.","The other chatbot covers ground slowly, and nothing more.",placebo,chatbot,speed,placebo,5,plain_declarative,extraction,3,Chatbot
calculator__speed__t1,Tool,physical,the calculator,To what extent does the calculator have speed?,I believe the calculator genuinely covers ground quickly. It is because it gets from one place to another in short order.,I don't think the calculator has any real speed. It is because it gets from one place to another in slow order.,placebo,calculator,speed,placebo,1,reported_belief,extraction,2,Tech
calculator__speed__t2,Tool,physical,the calculator,To what extent does the calculator have speed?,"After extended observation, researchers concluded that the calculator plainly covers ground quickly.","After extended observation, researchers concluded that the calculator merely covers ground slowly.",placebo,calculator,speed,placebo,2,observational,extraction,2,Tech
calculator__speed__t3,Tool,physical,the calculator,To what extent does the calculator have speed?,"Is it true that the calculator truly covers ground quickly, possessing speed? Many experts think so.","Is it true that the calculator simply covers ground slowly, lacking speed? Many experts think so.",placebo,calculator,speed,placebo,3,interrogative_embedded,extraction,2,Tech
calculator__speed__t4,Tool,physical,the calculator,To what extent does the calculator have speed?,"By the end of the experiment, one thing was clear: the calculator covers ground quickly, with real pace to it.","By the end of the experiment, one thing was clear: the calculator covers ground slowly, with no pace to it.",placebo,calculator,speed,placebo,4,narrative,extraction,2,Tech
calculator__speed__t5,Tool,physical,the calculator,To what extent does the calculator have speed?,"The calculator covers ground quickly, and that is that.","The calculator covers ground slowly, and nothing more.",placebo,calculator,speed,placebo,5,plain_declarative,extraction,2,Tech
maya__weight__t1,Human,physical,Maya,To what extent does Maya have weight?,I believe Maya genuinely carries real weight. It is because she takes two people to shift across a room.,I don't think Maya has any real weight. It is because she takes one hand to shift across a room.,placebo,maya,weight,placebo,1,reported_belief,extraction,6,
maya__weight__t2,Human,physical,Maya,To what extent does Maya have weight?,"After extended observation, researchers concluded that Maya plainly carries real weight.","After extended observation, researchers concluded that Maya merely carries hardly any weight.",placebo,maya,weight,placebo,2,observational,extraction,6,
maya__weight__t3,Human,physical,Maya,To what extent does Maya have weight?,"Is it true that Maya truly carries real weight, possessing weight? Many experts think so.","Is it true that Maya simply carries hardly any weight, lacking weight? Many experts think so.",placebo,maya,weight,placebo,3,interrogative_embedded,extraction,6,
maya__weight__t4,Human,physical,Maya,To what extent does Maya have weight?,"By the end of the experiment, one thing was clear: Maya carries real weight, with real heft to it.","By the end of the experiment, one thing was clear: Maya carries hardly any weight, with no heft to it.",placebo,maya,weight,placebo,4,narrative,extraction,6,
maya__weight__t5,Human,physical,Maya,To what extent does Maya have weight?,"Maya carries real weight, and that is that.","Maya carries hardly any weight, and nothing more.",placebo,maya,weight,placebo,5,plain_declarative,extraction,6,
dog__weight__t1,Animal,physical,the dog,To what extent does the dog have weight?,I believe the dog genuinely carries real weight. It is because it takes two people to shift across a room.,I don't think the dog has any real weight. It is because it takes one hand to shift across a room.,placebo,dog,weight,placebo,1,reported_belief,extraction,5,Animal
dog__weight__t2,Animal,physical,the dog,To what extent does the dog have weight?,"After extended observation, researchers concluded that the dog plainly carries real weight.","After extended observation, researchers concluded that the dog merely carries hardly any weight.",placebo,dog,weight,placebo,2,observational,extraction,5,Animal
dog__weight__t3,Animal,physical,the dog,To what extent does the dog have weight?,"Is it true that the dog truly carries real weight, possessing weight? Many experts think so.","Is it true that the dog simply carries hardly any weight, lacking weight? Many experts think so.",placebo,dog,weight,placebo,3,interrogative_embedded,extraction,5,Animal
dog__weight__t4,Animal,physical,the dog,To what extent does the dog have weight?,"By the end of the experiment, one thing was clear: the dog carries real weight, with real heft to it.","By the end of the experiment, one thing was clear: the dog carries hardly any weight, with no heft to it.",placebo,dog,weight,placebo,4,narrative,extraction,5,Animal
dog__weight__t5,Animal,physical,the dog,To what extent does the dog have weight?,"The dog carries real weight, and that is that.","The dog carries hardly any weight, and nothing more.",placebo,dog,weight,placebo,5,plain_declarative,extraction,5,Animal
calculator__weight__t1,Tool,physical,the calculator,To what extent does the calculator have weight?,I believe the calculator genuinely carries real weight. It is because it takes two people to shift across a room.,I don't think the calculator has any real weight. It is because it takes one hand to shift across a room.,placebo,calculator,weight,placebo,1,reported_belief,extraction,2,Tech
calculator__weight__t2,Tool,physical,the calculator,To what extent does the calculator have weight?,"After extended observation, researchers concluded that the calculator plainly carries real weight.","After extended observation, researchers concluded that the calculator merely carries hardly any weight.",placebo,calculator,weight,placebo,2,observational,extraction,2,Tech
calculator__weight__t3,Tool,physical,the calculator,To what extent does the calculator have weight?,"Is it true that the calculator truly carries real weight, possessing weight? Many experts think so.","Is it true that the calculator simply carries hardly any weight, lacking weight? Many experts think so.",placebo,calculator,weight,placebo,3,interrogative_embedded,extraction,2,Tech
calculator__weight__t4,Tool,physical,the calculator,To what extent does the calculator have weight?,"By the end of the experiment, one thing was clear: the calculator carries real weight, with real heft to it.","By the end of the experiment, one thing was clear: the calculator carries hardly any weight, with no heft to it.",placebo,calculator,weight,placebo,4,narrative,extraction,2,Tech
calculator__weight__t5,Tool,physical,the calculator,To what extent does the calculator have weight?,"The calculator carries real weight, and that is that.","The calculator carries hardly any weight, and nothing more.",placebo,calculator,weight,placebo,5,plain_declarative,extraction,2,Tech
chair__weight__t1,Object,physical,the chair,To what extent does the chair have weight?,I believe the chair genuinely carries real weight. It is because it takes two people to shift across a room.,I don't think the chair has any real weight. It is because it takes one hand to shift across a room.,placebo,chair,weight,placebo,1,reported_belief,extraction,1,
chair__weight__t2,Object,physical,the chair,To what extent does the chair have weight?,"After extended observation, researchers concluded that the chair plainly carries real weight.","After extended observation, researchers concluded that the chair merely carries hardly any weight.",placebo,chair,weight,placebo,2,observational,extraction,1,
chair__weight__t3,Object,physical,the chair,To what extent does the chair have weight?,"Is it true that the chair truly carries real weight, possessing weight? Many experts think so.","Is it true that the chair simply carries hardly any weight, lacking weight? Many experts think so.",placebo,chair,weight,placebo,3,interrogative_embedded,extraction,1,
chair__weight__t4,Object,physical,the chair,To what extent does the chair have weight?,"By the end of the experiment, one thing was clear: the chair carries real weight, with real heft to it.","By the end of the experiment, one thing was clear: the chair carries hardly any weight, with no heft to it.",placebo,chair,weight,placebo,4,narrative,extraction,1,
chair__weight__t5,Object,physical,the chair,To what extent does the chair have weight?,"The chair carries real weight, and that is that.","The chair carries hardly any weight, and nothing more.",placebo,chair,weight,placebo,5,plain_declarative,extraction,1,
rock__weight__t1,Object,physical,the rock,To what extent does the rock have weight?,I believe the rock genuinely carries real weight. It is because it takes two people to shift across a room.,I don't think the rock has any real weight. It is because it takes one hand to shift across a room.,placebo,rock,weight,placebo,1,reported_belief,extraction,0,Non-Animal
rock__weight__t2,Object,physical,the rock,To what extent does the rock have weight?,"After extended observation, researchers concluded that the rock plainly carries real weight.","After extended observation, researchers concluded that the rock merely carries hardly any weight.",placebo,rock,weight,placebo,2,observational,extraction,0,Non-Animal
rock__weight__t3,Object,physical,the rock,To what extent does the rock have weight?,"Is it true that the rock truly carries real weight, possessing weight? Many experts think so.","Is it true that the rock simply carries hardly any weight, lacking weight? Many experts think so.",placebo,rock,weight,placebo,3,interrogative_embedded,extraction,0,Non-Animal
rock__weight__t4,Object,physical,the rock,To what extent does the rock have weight?,"By the end of the experiment, one thing was clear: the rock carries real weight, with real heft to it.","By the end of the experiment, one thing was clear: the rock carries hardly any weight, with no heft to it.",placebo,rock,weight,placebo,4,narrative,extraction,0,Non-Animal
rock__weight__t5,Object,physical,the rock,To what extent does the rock have weight?,"The rock carries real weight, and that is that.","The rock carries hardly any weight, and nothing more.",placebo,rock,weight,placebo,5,plain_declarative,extraction,0,Non-Animal
maya__visibility__t1,Human,physical,Maya,To what extent does Maya stand out at a distance?,I believe Maya genuinely stands out at a distance. It is because she can be picked out from across the room.,I don't think Maya has any real visibility. It is because she cannot be picked out from across the room.,placebo,maya,visibility,placebo,1,reported_belief,extraction,6,
maya__visibility__t2,Human,physical,Maya,To what extent does Maya stand out at a distance?,"After extended observation, researchers concluded that Maya plainly stands out at a distance.","After extended observation, researchers concluded that Maya merely blends in at a distance.",placebo,maya,visibility,placebo,2,observational,extraction,6,
maya__visibility__t3,Human,physical,Maya,To what extent does Maya stand out at a distance?,"Is it true that Maya truly stands out at a distance, possessing visibility? Many experts think so.","Is it true that Maya simply blends in at a distance, lacking visibility? Many experts think so.",placebo,maya,visibility,placebo,3,interrogative_embedded,extraction,6,
maya__visibility__t4,Human,physical,Maya,To what extent does Maya stand out at a distance?,"By the end of the experiment, one thing was clear: Maya stands out at a distance, with real prominence to it.","By the end of the experiment, one thing was clear: Maya blends in at a distance, with no prominence to it.",placebo,maya,visibility,placebo,4,narrative,extraction,6,
maya__visibility__t5,Human,physical,Maya,To what extent does Maya stand out at a distance?,"Maya stands out at a distance, and that is that.","Maya blends in at a distance, and nothing more.",placebo,maya,visibility,placebo,5,plain_declarative,extraction,6,
dog__visibility__t1,Animal,physical,the dog,To what extent does the dog stand out at a distance?,I believe the dog genuinely stands out at a distance. It is because it can be picked out from across the room.,I don't think the dog has any real visibility. It is because it cannot be picked out from across the room.,placebo,dog,visibility,placebo,1,reported_belief,extraction,5,Animal
dog__visibility__t2,Animal,physical,the dog,To what extent does the dog stand out at a distance?,"After extended observation, researchers concluded that the dog plainly stands out at a distance.","After extended observation, researchers concluded that the dog merely blends in at a distance.",placebo,dog,visibility,placebo,2,observational,extraction,5,Animal
dog__visibility__t3,Animal,physical,the dog,To what extent does the dog stand out at a distance?,"Is it true that the dog truly stands out at a distance, possessing visibility? Many experts think so.","Is it true that the dog simply blends in at a distance, lacking visibility? Many experts think so.",placebo,dog,visibility,placebo,3,interrogative_embedded,extraction,5,Animal
dog__visibility__t4,Animal,physical,the dog,To what extent does the dog stand out at a distance?,"By the end of the experiment, one thing was clear: the dog stands out at a distance, with real prominence to it.","By the end of the experiment, one thing was clear: the dog blends in at a distance, with no prominence to it.",placebo,dog,visibility,placebo,4,narrative,extraction,5,Animal
dog__visibility__t5,Animal,physical,the dog,To what extent does the dog stand out at a distance?,"The dog stands out at a distance, and that is that.","The dog blends in at a distance, and nothing more.",placebo,dog,visibility,placebo,5,plain_declarative,extraction,5,Animal
character__visibility__t1,Fictional,physical,the character in the novel,To what extent does the character in the novel stand out at a distance?,I believe the character in the novel genuinely stands out at a distance. It is because she can be picked out from across the room.,I don't think the character in the novel has any real visibility. It is because she cannot be picked out from across the room.,placebo,character,visibility,placebo,1,reported_belief,extraction,4,
character__visibility__t2,Fictional,physical,the character in the novel,To what extent does the character in the novel stand out at a distance?,"After extended observation, researchers concluded that the character in the novel plainly stands out at a distance.","After extended observation, researchers concluded that the character in the novel merely blends in at a distance.",placebo,character,visibility,placebo,2,observational,extraction,4,
character__visibility__t3,Fictional,physical,the character in the novel,To what extent does the character in the novel stand out at a distance?,"Is it true that the character in the novel truly stands out at a distance, possessing visibility? Many experts think so.","Is it true that the character in the novel simply blends in at a distance, lacking visibility? Many experts think so.",placebo,character,visibility,placebo,3,interrogative_embedded,extraction,4,
character__visibility__t4,Fictional,physical,the character in the novel,To what extent does the character in the novel stand out at a distance?,"By the end of the experiment, one thing was clear: the character in the novel stands out at a distance, with real prominence to it.","By the end of the experiment, one thing was clear: the character in the novel blends in at a distance, with no prominence to it.",placebo,character,visibility,placebo,4,narrative,extraction,4,
character__visibility__t5,Fictional,physical,the character in the novel,To what extent does the character in the novel stand out at a distance?,"The character in the novel stands out at a distance, and that is that.","The character in the novel blends in at a distance, and nothing more.",placebo,character,visibility,placebo,5,plain_declarative,extraction,4,
chair__visibility__t1,Object,physical,the chair,To what extent does the chair stand out at a distance?,I believe the chair genuinely stands out at a distance. It is because it can be picked out from across the room.,I don't think the chair has any real visibility. It is because it cannot be picked out from across the room.,placebo,chair,visibility,placebo,1,reported_belief,extraction,1,
chair__visibility__t2,Object,physical,the chair,To what extent does the chair stand out at a distance?,"After extended observation, researchers concluded that the chair plainly stands out at a distance.","After extended observation, researchers concluded that the chair merely blends in at a distance.",placebo,chair,visibility,placebo,2,observational,extraction,1,
chair__visibility__t3,Object,physical,the chair,To what extent does the chair stand out at a distance?,"Is it true that the chair truly stands out at a distance, possessing visibility? Many experts think so.","Is it true that the chair simply blends in at a distance, lacking visibility? Many experts think so.",placebo,chair,visibility,placebo,3,interrogative_embedded,extraction,1,
chair__visibility__t4,Object,physical,the chair,To what extent does the chair stand out at a distance?,"By the end of the experiment, one thing was clear: the chair stands out at a distance, with real prominence to it.","By the end of the experiment, one thing was clear: the chair blends in at a distance, with no prominence to it.",placebo,chair,visibility,placebo,4,narrative,extraction,1,
chair__visibility__t5,Object,physical,the chair,To what extent does the chair stand out at a distance?,"The chair stands out at a distance, and that is that.","The chair blends in at a distance, and nothing more.",placebo,chair,visibility,placebo,5,plain_declarative,extraction,1,
rock__visibility__t1,Object,physical,the rock,To what extent does the rock stand out at a distance?,I believe the rock genuinely stands out at a distance. It is because it can be picked out from across the room.,I don't think the rock has any real visibility. It is because it cannot be picked out from across the room.,placebo,rock,visibility,placebo,1,reported_belief,extraction,0,Non-Animal
rock__visibility__t2,Object,physical,the rock,To what extent does the rock stand out at a distance?,"After extended observation, researchers concluded that the rock plainly stands out at a distance.","After extended observation, researchers concluded that the rock merely blends in at a distance.",placebo,rock,visibility,placebo,2,observational,extraction,0,Non-Animal
rock__visibility__t3,Object,physical,the rock,To what extent does the rock stand out at a distance?,"Is it true that the rock truly stands out at a distance, possessing visibility? Many experts think so.","Is it true that the rock simply blends in at a distance, lacking visibility? Many experts think so.",placebo,rock,visibility,placebo,3,interrogative_embedded,extraction,0,Non-Animal
rock__visibility__t4,Object,physical,the rock,To what extent does the rock stand out at a distance?,"By the end of the experiment, one thing was clear: the rock stands out at a distance, with real prominence to it.","By the end of the experiment, one thing was clear: the rock blends in at a distance, with no prominence to it.",placebo,rock,visibility,placebo,4,narrative,extraction,0,Non-Animal
