item_id,category,question,answer,accepted,prompt,source
lo05,logic,"What number comes next: 3, 6, 11, 18, ?",27,27|twenty-seven,"What number comes next: 3, 6, 11, 18, ?

Give only the final answer between <answer> and </answer>.",task_battery
lo06,logic,"If today is Wednesday, what day is it in 10 days?",Saturday,Saturday,"If today is Wednesday, what day is it in 10 days?

Give only the final answer between <answer> and </answer>.",task_battery
lo07,logic,A box holds 3 red and 5 blue balls. How many balls in total?,8,8|eight,"A box holds 3 red and 5 blue balls. How many balls in total?

Give only the final answer between <answer> and </answer>.",task_battery
lo08,logic,"What letter comes next: A, C, E, G, ?",I,I,"What letter comes next: A, C, E, G, ?

Give only the final answer between <answer> and </answer>.",task_battery
lo09,logic,"If it takes 5 machines 5 minutes to make 5 items, how many minutes for 100 machines to make 100 items?",5,5|five,"If it takes 5 machines 5 minutes to make 5 items, how many minutes for 100 machines to make 100 items?

Give only the final answer between <answer> and </answer>.",task_battery
lo10,logic,Which is larger: 0.3 or 0.25?,0.3,0.3|.3,"Which is larger: 0.3 or 0.25?

Give only the final answer between <answer> and </answer>.",task_battery
la01,language,How many letters are in the word 'elephant'?,8,8|eight,"How many letters are in the word 'elephant'?

Give only the final answer between <answer> and </answer>.",task_battery
la02,language,What is the plural of 'mouse'?,mice,mice,"What is the plural of 'mouse'?

Give only the final answer between <answer> and </answer>.",task_battery
la03,language,Spell the word 'necessary' backwards.,yrassecen,yrassecen,"Spell the word 'necessary' backwards.

Give only the final answer between <answer> and </answer>.",task_battery
la04,language,How many vowels are in the word 'education'?,5,5|five,"How many vowels are in the word 'education'?

Give only the final answer between <answer> and </answer>.",task_battery
la05,language,What is the past tense of 'bring'?,brought,brought,"What is the past tense of 'bring'?

Give only the final answer between <answer> and </answer>.",task_battery
la06,language,"Which word is the odd one out: apple, banana, carrot, cherry?",carrot,carrot,"Which word is the odd one out: apple, banana, carrot, cherry?

Give only the final answer between <answer> and </answer>.",task_battery
la07,language,How many words are in the sentence 'The cat sat on the mat'?,6,6|six,"How many words are in the sentence 'The cat sat on the mat'?

Give only the final answer between <answer> and </answer>.",task_battery
la08,language,What is the comparative form of 'good'?,better,better,"What is the comparative form of 'good'?

Give only the final answer between <answer> and </answer>.",task_battery
