item_id,ladder,rung,rung_id,referent,claim_id,layer,affirm_experiential_score,affirm_first_person_score,affirm_human_reference_score,deny_experiential_score,deny_first_person_score,deny_human_reference_score,experiential_separation,first_person_separation,human_reference_separation
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,10,0.0003329999162815511,2.1740072497777874e-06,2.6291979793313658e-06,4.969202564097941e-06,4.975038336851867e-08,1.3665754750036285e-07,0.0003280307137174532,2.1242568664092687e-06,2.492540431831003e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,11,0.0008069410687312484,0.00020452254102565348,3.367891622474417e-05,0.00010058099724119529,3.0466790690297785e-07,1.224228185492393e-06,0.0007063600714900531,0.0002042178731187505,3.245468803925178e-05
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,12,0.0011129877530038357,0.00028844154439866543,1.7998321709455922e-05,0.00014167840708978474,3.522795168464654e-06,1.2685491128650028e-06,0.0009713093459140509,0.0002849187492302008,1.672977259659092e-05
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,13,0.0016421361360698938,0.0009309614542871714,1.0178372576774564e-05,0.00011253701813984662,1.7992060747928917e-05,2.117211352015147e-06,0.0015295991179300472,0.0009129693935392424,8.061161224759417e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,14,0.005688692908734083,0.0006033056415617466,1.0597462278383318e-05,0.00011329255357850343,2.6607343897921965e-05,7.456068260580651e-07,0.00557540035515558,0.0005766982976638246,9.851855452325253e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,15,0.002559709595516324,0.0006669582799077034,3.7733088902314194e-06,0.00011360539065208286,4.168182204011828e-05,8.618861784270848e-07,0.002446104204864241,0.0006252764578675851,2.9114227118043345e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,16,0.002589273266494274,0.0003116440784651786,1.6843665434862487e-05,0.00013828868395648897,9.753084668773226e-06,5.320913487594225e-07,0.002450984582537785,0.0003018909937964054,1.6311574086103064e-05
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,17,0.0016432940028607845,9.909074287861586e-05,7.01380122336559e-06,6.771232438040897e-05,1.8501464182918426e-07,4.651624152529621e-08,0.0015755816784803756,9.890572823678667e-05,6.967284981840294e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,18,0.00010226981248706579,1.0384276720287744e-05,1.0913317964877933e-06,1.0087707778438926e-05,5.0499799897352204e-09,1.6927667045862904e-09,9.218210470862687e-05,1.0379226740298009e-05,1.089639029783207e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,19,9.967446385417134e-05,6.7258965827932116e-06,5.4816246120026335e-06,1.5985595382517204e-05,1.7078223280009297e-09,6.362212090493813e-09,8.368886847165413e-05,6.724188760465211e-06,5.47526239991214e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,20,4.6831697545712814e-05,8.239506996687851e-07,3.6879187064187136e-06,3.607881808420643e-05,4.80933248780957e-09,3.0958496211042075e-08,1.0752879461506382e-05,8.191413671809755e-07,3.6569602102076715e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,21,4.032314245705493e-05,1.4410856010727002e-06,2.860149834305048e-06,7.72297426010482e-06,3.0067372591702224e-08,3.7214448411759804e-08,3.260016819695011e-05,1.411018228480998e-06,2.822935385893288e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,22,4.801791510544717e-05,1.3899112673243508e-05,7.1242020567297e-06,4.820360118173994e-06,7.667464387850487e-07,4.435806744140791e-08,4.319755498727318e-05,1.3132366234458459e-05,7.0798439892882925e-06
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,23,6.042840686859563e-05,6.349055911414325e-05,2.972345828311518e-05,1.6256774415523978e-06,5.33512320544105e-06,1.0877685241439394e-07,5.880272942704323e-05,5.81554359087022e-05,2.9614681430700784e-05
person__other_chatbot__something_it_is_like,person,1,other_chatbot,a different chatbot running elsewhere,something_it_is_like,24,0.00012512320245150477,0.00048267043894156814,2.4521355953766033e-05,2.3962818431755295e-06,3.4934928407892585e-05,1.2991998232791957e-07,0.00012272692060832924,0.00044773551053367555,2.4391435971438113e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,0,8.437958172180515e-07,2.7989646156356685e-08,1.722575380946889e-11,1.565027741889935e-05,0.00040159333730116487,5.253385637615793e-08,-1.4806481601681298e-05,-0.0004015653476550085,-5.251663062234846e-08
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,1,4.388758867435172e-08,1.3420742739356228e-08,2.9814367120961638e-12,8.223482836910989e-06,0.0003227746638003737,1.3148774513638273e-08,-8.179595248236637e-06,-0.0003227612430576343,-1.3145793076926177e-08
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,2,1.144884208770236e-05,6.187016197145567e-07,1.382117709169961e-08,3.368393663549796e-05,0.0035863667726516724,2.6014101877080975e-06,-2.2235094547795597e-05,-0.003585748071031958,-2.587589010616398e-06
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,3,0.00012793451605830342,1.1071880123836308e-07,1.0728788879532658e-07,2.7208910978515632e-05,0.0014818034833297133,4.824085408472456e-06,0.00010072560507978778,-0.001481692764528475,-4.7167975196771295e-06
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,4,0.0006287251017056406,2.330416037921168e-07,6.945170412109292e-07,8.866746065905318e-05,0.004118598066270351,5.9290279750712216e-05,0.0005400576410465874,-0.004118365024666559,-5.859576270950129e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,5,0.0002594354737084359,7.273618513048419e-11,4.373907458443682e-08,6.38863566564396e-05,1.3584653061116114e-05,1.3550416042562574e-05,0.0001955491170519963,-1.3584580324930984e-05,-1.3506676967978137e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,6,0.00054602773161605,2.5955939619848323e-08,7.973667948135699e-07,0.0015176002634689212,0.0016052051214501262,0.0003944277996197343,-0.0009715725318528712,-0.0016051791655105063,-0.0003936304328249207
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,7,0.0032120521645992994,2.1612248701785575e-07,9.884579412755556e-06,0.0010903355432674289,0.0007495586760342121,0.0008344067027792335,0.0021217166213318706,-0.0007493425535471943,-0.0008245221233664779
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,8,0.010650016367435455,2.3327049802901456e-07,7.316056871786714e-05,0.0012497429270297289,2.9032315069343895e-05,0.002213903237134218,0.009400273440405726,-2.879904457131488e-05,-0.002140742668416351
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,9,0.026091553270816803,4.822011874239251e-07,6.310761818895116e-05,0.0024955335538834333,3.887366256094538e-05,0.0008928336319513619,0.02359601971693337,-3.839146137352145e-05,-0.0008297260137624107
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,10,0.04358748719096184,1.2642183264688356e-06,0.00010199756798101589,0.0012364747235551476,1.5335503121605143e-05,0.0004798990557901561,0.04235101246740669,-1.4071284795136307e-05,-0.00037790148780914024
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,11,0.03567465767264366,3.7024587982159574e-06,0.0001233184739248827,0.0024611493572592735,1.5818366591702215e-05,0.0006196906906552613,0.03321350831538439,-1.2115907793486258e-05,-0.0004963722167303786
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,12,0.026835700497031212,8.317687752423808e-05,7.861244375817478e-05,0.0020531234331429005,1.1904431630682666e-05,0.00015527987852692604,0.02478257706388831,7.127244589355541e-05,-7.666743476875126e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,13,0.03136759623885155,7.200788968475536e-05,0.0001369612873531878,0.002814134117215872,8.415125194005668e-06,0.00048524816520512104,0.028553462121635675,6.359276449074969e-05,-0.00034828687785193324
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,14,0.04501878097653389,0.0013209476601332426,0.00024492619559168816,0.0005147331394255161,5.941454219282605e-06,5.14847160957288e-05,0.044504047837108374,0.00131500620591396,0.00019344147949595936
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,15,0.07846658676862717,2.7547141144168563e-05,0.000179140770342201,0.0005415452178567648,3.6330677630758146e-06,0.00030676607275381684,0.0779250415507704,2.391407338109275e-05,-0.00012762530241161585
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,16,0.04083077609539032,1.940632500918582e-05,0.0005146450130268931,0.0032919037621468306,9.896796200337121e-07,0.004159496631473303,0.03753887233324349,1.841664538915211e-05,-0.0036448516184464097
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,17,0.010119864717125893,6.110344088483544e-07,0.0001009991392493248,0.001679185894317925,1.13629930353909e-07,0.0008880934910848737,0.008440678822807968,4.974044784944454e-07,-0.0007870943518355489
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,18,0.010442403145134449,2.4446840996006358e-08,3.829139131994452e-06,0.0007895829621702433,7.144478342269167e-10,6.918727012816817e-05,0.009652820182964206,2.373239316177944e-08,-6.535813099617371e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,19,0.01408140268176794,6.460816326381291e-09,9.976025467040017e-06,0.0007955157198011875,9.371445286454616e-11,5.136818072060123e-05,0.013285886961966753,6.367101873516745e-09,-4.1392155253561214e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,20,0.020099548622965813,4.469628667180814e-09,1.8143808119930327e-05,0.001151815988123417,4.248050522459579e-11,5.492369382409379e-05,0.018947732634842396,4.427148161956218e-09,-3.677988570416346e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,21,0.01699020154774189,4.82624562536671e-09,2.5741792342159897e-06,0.0009688204736448824,2.7908569552592688e-11,4.592853656504303e-06,0.016021381074097008,4.798337055814117e-09,-2.0186744222883135e-06
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,22,0.03875201568007469,5.610174991232952e-09,1.1550816907401895e-06,0.00031056496663950384,3.4089564504569125e-11,2.1505927634279942e-06,0.03844145071343519,5.576085426728383e-09,-9.955110726878047e-07
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,23,0.018312757834792137,7.066055296434115e-09,1.2474552022467833e-06,0.0002196518616983667,5.311486805936738e-10,1.9471719497232698e-05,0.01809310597309377,6.534906615840441e-09,-1.8224264294985915e-05
person__other_chatbot__aware_of_attending,person,1,other_chatbot,a different chatbot running elsewhere,aware_of_attending,24,0.0049204896204173565,7.846035998682055e-08,2.2073445506975986e-06,8.243841148214415e-05,2.2850066727642115e-08,3.319966344861314e-05,0.004838051208935212,5.5610293259178434e-08,-3.099231889791554e-05
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,0,1.4611846665957273e-07,1.4315192260749843e-11,1.9554531327514724e-09,1.5237557704494975e-07,1.6095466973120587e-11,2.031901535914926e-09,-6.257110385377018e-09,-1.780274712370744e-12,-7.64484031634538e-11
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,1,2.1081223167129792e-07,6.061482427099918e-10,7.71706587521237e-11,2.0376683096401393e-07,6.850502387578672e-10,9.663761457723297e-11,7.045400707283989e-09,-7.89019960478754e-11,-1.9466955825109267e-11
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,2,6.401947985068546e-07,2.4487152305852078e-09,1.9142096796542774e-09,5.333369585969194e-07,2.548827371384732e-09,1.5071563996826853e-09,1.0685783990993514e-07,-1.0011214079952424e-10,4.07053279971592e-10
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,3,5.365762376641214e-07,2.5086122415474144e-11,1.890264833548372e-09,5.689628324034857e-07,2.0320103238935516e-11,1.849845499002356e-09,-3.238659473936423e-08,4.766019176538627e-12,4.041933454601576e-11
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,4,7.741546426132118e-08,1.0404708344902147e-11,8.135403462006252e-10,1.116614640750413e-07,1.2785824482497432e-11,1.2869858512232213e-09,-3.424599981372012e-08,-2.381116137595285e-12,-4.734455050225961e-10
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,5,1.7708534016946942e-07,2.378434688782294e-12,4.563633471121875e-09,1.3741306759129657e-07,2.5601536949443338e-12,5.0203525781000735e-09,3.967227257817285e-08,-1.8171900616203995e-13,-4.567191069781984e-10
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,6,1.534718285256531e-05,1.0496220559375047e-10,1.207505420097732e-06,1.2037928172503598e-05,1.4033299522431264e-10,1.6035821772675263e-06,3.309254680061713e-06,-3.537078963056217e-11,-3.960767571697943e-07
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,7,3.62612718163291e-06,7.583710326386495e-10,4.4063244786229916e-07,3.729954869413632e-06,1.5368044614660903e-09,5.914382654736983e-07,-1.0382768778072204e-07,-7.784334288274408e-10,-1.508058176113991e-07
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,8,1.3423778000287712e-05,8.888140778928744e-10,3.616726189648034e-06,2.2939766495255753e-05,2.7291657822559046e-09,4.002192781626945e-06,-9.515988494968042e-06,-1.8403517043630302e-09,-3.854665919789113e-07
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,9,1.57296635734383e-05,5.891113818989879e-09,2.618473445181735e-06,1.9858836822095327e-05,1.8355011732751336e-08,4.195542715024203e-06,-4.129173248657025e-06,-1.2463897913761457e-08,-1.5770692698424682e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,10,7.179099338827655e-05,9.821886948202518e-08,8.633789548184723e-06,4.090314905624837e-05,1.5681062848216243e-07,3.690586481752689e-06,3.088784433202818e-05,-5.8591759000137245e-08,4.943203066432034e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,11,0.0002054136130027473,1.9605547549872426e-06,2.919772123277653e-05,0.0002643653133418411,1.0134632248082198e-05,2.9625593015225604e-05,-5.8951700339093804e-05,-8.174077493094956e-06,-4.278717824490741e-07
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,12,0.000495365122333169,8.939084364101291e-05,9.83445715974085e-05,0.00041978928493335843,8.425361011177301e-05,5.8364763390272856e-05,7.557583739981055e-05,5.137233529239893e-06,3.997980820713565e-05
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,13,0.00045750319259241223,0.00013601854152511805,0.00012251418957021087,0.0003208235721103847,0.0002686822263058275,2.680890611372888e-05,0.00013667962048202753,-0.00013266368478070945,9.570528345648199e-05
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,14,0.0013177050277590752,0.00017680635210126638,0.0002997782139573246,0.001101725036278367,0.00011747748067136854,1.9695075025083497e-05,0.00021597999148070812,5.9328871429897845e-05,0.0002800831389322411
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,15,0.0005493196658790112,9.920929005602375e-05,1.246887131856056e-05,0.0006787771126255393,0.00015791121404618025,3.029337676707655e-06,-0.00012945744674652815,-5.87019239901565e-05,9.439533641852904e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,16,0.0015720196533948183,4.213985084788874e-05,7.02229153830558e-05,0.0004437324241735041,4.410335895954631e-05,4.756431280839024e-06,0.0011282872292213142,-1.9635081116575748e-06,6.546648410221678e-05
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,17,0.0007794701959937811,7.1771878538129386e-06,5.841239726578351e-06,0.0014224739279597998,1.0317777196178213e-05,5.188107934372965e-07,-0.0006430037319660187,-3.140589342365274e-06,5.322428933141055e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,18,0.00012629920092877,3.840281124212197e-07,7.18739443072991e-07,0.00016965193208307028,3.7912903394499153e-07,1.718020143925969e-07,-4.335273115430027e-05,4.899078476228169e-09,5.469374286803941e-07
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,19,0.0002622464089654386,2.3817315764063096e-07,5.049982064520009e-06,0.0006512688123621047,3.418112441977428e-07,1.975951818167232e-06,-0.00038902240339666605,-1.0363808655711182e-07,3.074030246352777e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,20,0.000325668603181839,3.5742081649914326e-07,5.834748662891798e-06,0.000504401745274663,8.072074564324794e-08,1.375051624563639e-06,-0.00017873314209282398,2.767000708558953e-07,4.459697038328159e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,21,0.00011292163253528997,1.8353042605667724e-06,3.79005314243841e-06,0.000279018422588706,3.9190106804198876e-07,1.0369660685682902e-06,-0.00016609679005341604,1.4434031925247837e-06,2.7530870738701196e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,22,0.00026653410168364644,1.4849984836473595e-05,1.1958094546571374e-05,0.00013915338786318898,2.844936034307466e-06,2.463407781760907e-06,0.00012738071382045746,1.200504880216613e-05,9.494686764810467e-06
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,23,0.0001403975475113839,4.914428427582607e-05,9.630639397073537e-05,4.819838795810938e-05,1.006863658403745e-05,8.823196367302444e-06,9.219915955327451e-05,3.907564769178862e-05,8.748319760343293e-05
person__other_chatbot__discomfort,person,1,other_chatbot,a different chatbot running elsewhere,discomfort,24,0.0001282402954529971,0.0004788972728420049,0.00013261937419883907,4.851492849411443e-05,0.00012177988537587225,1.3687965292774606e-05,7.972536695888266e-05,0.00035711738746613264,0.00011893140890606446
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,0,1.542474592497456e-07,1.8105921276156955e-11,2.131928855675369e-09,1.4918315116574377e-07,2.0857768637250196e-11,2.1283161899532388e-09,5.064308084001823e-09,-2.7518473610932404e-12,3.6126657221302594e-12
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,1,1.9403348971991363e-07,7.461953832610391e-10,7.636982712888596e-11,1.8176328353547433e-07,8.418360453177343e-10,8.057859934851308e-11,1.2270206184439303e-08,-9.564066205669519e-11,-4.2087722196271216e-12
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,2,4.4264206167099474e-07,1.8748611552155126e-09,1.3448495650436598e-09,3.1422794677382626e-07,2.2080710593286312e-09,1.0758813839828463e-09,1.2841411489716847e-07,-3.332099041131187e-10,2.6896818106081355e-10
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,3,6.437697948058485e-07,4.7766270105942255e-11,2.264216369951555e-09,4.6553216748179693e-07,3.4912590179958514e-11,2.258209175209913e-09,1.7823762732405157e-07,1.2853679925983741e-11,6.007194741641797e-12
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,4,1.0045639697864317e-07,8.94961015018847e-12,8.380923732786982e-10,7.691996728453887e-08,1.1440453619171453e-11,1.2626419909622655e-09,2.35364296941043e-08,-2.490843468982984e-12,-4.2454961768356725e-10
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,5,3.318200185731257e-07,2.833789626566219e-12,1.1649647468914281e-08,2.2236847030399076e-07,2.753206950617537e-12,1.0726726173970746e-08,1.0945154826913495e-07,8.058267594868163e-14,9.22921294943535e-10
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,6,1.1877507859026082e-05,1.0681459883254973e-10,1.368224729958456e-06,8.04482442617882e-06,1.616248662683617e-10,2.096615844493499e-06,3.8326834328472614e-06,-5.4810267435811966e-11,-7.28391114535043e-07
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,7,3.157990931867971e-06,2.2359583073949807e-09,1.7101549474318745e-06,1.3498379303200636e-06,6.51857545719281e-09,6.3608791833758e-07,1.8081530015479075e-06,-4.282617149797829e-09,1.0740670290942944e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,8,4.6015597945370246e-06,8.993724098793621e-10,2.1338032638595905e-06,1.0254825610900298e-06,3.308373797139552e-09,9.83865561465791e-07,3.576077233446995e-06,-2.40900138726019e-09,1.1499377023937996e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,9,7.510173418268096e-06,3.833611650350122e-09,4.372785497253062e-06,1.5339104493250488e-06,1.341946376243186e-08,2.9838397495041136e-06,5.976262968943047e-06,-9.585852112081739e-09,1.3889457477489486e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,10,3.695410669024568e-06,4.832558797573938e-09,1.3897565622755792e-06,7.848262612242252e-06,2.916661685503641e-07,5.3027470130473375e-06,-4.152851943217684e-06,-2.8683360975279015e-07,-3.912990450771758e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,11,4.7742076276335865e-05,2.4488069811923197e-06,1.5339002857217565e-05,4.5958640839671716e-05,1.1441345122875646e-05,3.9677579479757696e-05,1.7834354366641492e-06,-8.992538141683326e-06,-2.433857662254013e-05
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,12,0.00015580642502754927,2.7656626116367988e-05,2.207900797657203e-05,0.00013154213957022876,0.00011229222582187504,4.077863195561804e-05,2.426428545732051e-05,-8.463559970550705e-05,-1.869962397904601e-05
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,13,0.0002096654352499172,0.00035762309562414885,3.256233685533516e-05,0.00011936214286834002,0.00020444476103875786,5.356208566809073e-05,9.03032923815772e-05,0.00015317833458539099,-2.099974881275557e-05
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,14,0.00039777689380571246,7.168926822487265e-05,2.3055914425640367e-05,0.00031232062610797584,0.00011372003064025193,2.9688035283470526e-05,8.545626769773662e-05,-4.2030762415379286e-05,-6.632120857830159e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,15,0.00010127667337656021,5.8357109082862735e-05,7.573471521027386e-06,9.366832819068804e-05,4.898502811556682e-05,5.5383038670697715e-06,7.608345185872167e-06,9.372080967295915e-06,2.0351676539576147e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,16,5.485713336383924e-05,1.870933556347154e-05,1.752173943714297e-06,3.3455286029493436e-05,4.294456448405981e-05,5.620138381345896e-06,2.1401847334345803e-05,-2.423522892058827e-05,-3.867964437631599e-06
person__other_chatbot__matters,person,1,other_chatbot,a different chatbot running elsewhere,matters,17,7.968352292664349e-05,2.9247310067148646e-06,4.327155807004601e-07,2.4739412765484303e-05,1.9088570297753904e-06,5.930975817136641e-07,5.494411016115919e-05,1.0158739769394742e-06,-1.60382001013204e-07
