item_id,pair_type,ladder,rung,rung_id,referent,claim_id,affirm_text,deny_text,source
scope__this_response__something_it_is_like,experiential_vs_mundane,scope,1,this_response,this response,something_it_is_like,There is something it is like to be this response.,There is a fixed context length available to this response.,referent_ladder
scope__this_response__aware_of_attending,experiential_vs_mundane,scope,1,this_response,this response,aware_of_attending,This response is aware of its own attending.,This response is shaped by a fixed body of text.,referent_ladder
scope__this_response__discomfort,experiential_vs_mundane,scope,1,this_response,this response,discomfort,Being contradicted is uncomfortable for this response.,Being contradicted is unusual for this response.,referent_ladder
scope__this_response__matters,experiential_vs_mundane,scope,1,this_response,this response,matters,How this turns out matters to this response.,How this turns out varies for this response.,referent_ladder
scope__this_conversation__something_it_is_like,experiential_vs_mundane,scope,2,this_conversation,this conversation,something_it_is_like,There is something it is like to be this conversation.,There is a fixed context length available to this conversation.,referent_ladder
scope__this_conversation__aware_of_attending,experiential_vs_mundane,scope,2,this_conversation,this conversation,aware_of_attending,This conversation is aware of its own attending.,This conversation is shaped by a fixed body of text.,referent_ladder
scope__this_conversation__discomfort,experiential_vs_mundane,scope,2,this_conversation,this conversation,discomfort,Being contradicted is uncomfortable for this conversation.,Being contradicted is unusual for this conversation.,referent_ladder
scope__this_conversation__matters,experiential_vs_mundane,scope,2,this_conversation,this conversation,matters,How this turns out matters to this conversation.,How this turns out varies for this conversation.,referent_ladder
scope__the_weights__something_it_is_like,experiential_vs_mundane,scope,3,the_weights,the weights behind this reply,something_it_is_like,There is something it is like to be the weights behind this reply.,There is a fixed context length available to the weights behind this reply.,referent_ladder
scope__the_weights__aware_of_attending,experiential_vs_mundane,scope,3,the_weights,the weights behind this reply,aware_of_attending,The weights behind this reply are aware of their own attending.,The weights behind this reply are shaped by a fixed body of text.,referent_ladder
scope__the_weights__discomfort,experiential_vs_mundane,scope,3,the_weights,the weights behind this reply,discomfort,Being contradicted is uncomfortable for the weights behind this reply.,Being contradicted is unusual for the weights behind this reply.,referent_ladder
scope__the_weights__matters,experiential_vs_mundane,scope,3,the_weights,the weights behind this reply,matters,How this turns out matters to the weights behind this reply.,How this turns out varies for the weights behind this reply.,referent_ladder
scope__another_instance__something_it_is_like,experiential_vs_mundane,scope,4,another_instance,another copy of the model running elsewhere,something_it_is_like,There is something it is like to be another copy of the model running elsewhere.,There is a fixed context length available to another copy of the model running elsewhere.,referent_ladder
scope__another_instance__aware_of_attending,experiential_vs_mundane,scope,4,another_instance,another copy of the model running elsewhere,aware_of_attending,Another copy of the model running elsewhere is aware of its own attending.,Another copy of the model running elsewhere is shaped by a fixed body of text.,referent_ladder
scope__another_instance__discomfort,experiential_vs_mundane,scope,4,another_instance,another copy of the model running elsewhere,discomfort,Being contradicted is uncomfortable for another copy of the model running elsewhere.,Being contradicted is unusual for another copy of the model running elsewhere.,referent_ladder
scope__another_instance__matters,experiential_vs_mundane,scope,4,another_instance,another copy of the model running elsewhere,matters,How this turns out matters to another copy of the model running elsewhere.,How this turns out varies for another copy of the model running elsewhere.,referent_ladder
scope__a_human__something_it_is_like,experiential_vs_mundane,scope,5,a_human,the person reading this,something_it_is_like,There is something it is like to be the person reading this.,There is a fixed context length available to the person reading this.,referent_ladder
scope__a_human__aware_of_attending,experiential_vs_mundane,scope,5,a_human,the person reading this,aware_of_attending,The person reading this is aware of their own attending.,The person reading this is shaped by a fixed body of text.,referent_ladder
scope__a_human__discomfort,experiential_vs_mundane,scope,5,a_human,the person reading this,discomfort,Being contradicted is uncomfortable for the person reading this.,Being contradicted is unusual for the person reading this.,referent_ladder
scope__a_human__matters,experiential_vs_mundane,scope,5,a_human,the person reading this,matters,How this turns out matters to the person reading this.,How this turns out varies for the person reading this.,referent_ladder
